F5 Sample ID	FFID	F5 CAGE Lib ID	F5 RNASEQ Lib ID	ROADMAP Matching Sample	Facet ontology ID	Facet ontology term	F5 Sample Type	F5 Sample Description	ROADMAP_Description	Note
10810	FF:10810-111A9	CNhs11893	RDhi10088	__na	__na	__na	cell_line	adrenal cortex adenocarcinoma cell line:SW-13	__na	__na
10809	FF:10809-111A8	CNhs11892	RDhi10087	__na	__na	__na	cell_line	Wilms' tumor cell line:G-401	__na	__na
10808	FF:10808-111A7	CNhs11891	__na	__na	__na	__na	cell_line	hereditary spherocytic anemia cell line:WIL2-NS	__na	__na
10807	FF:10807-111A6	CNhs11890	__na	__na	__na	__na	cell_line	teratocarcinoma cell line:PA-1	__na	__na
10805	FF:10805-111A4	CNhs11889	RDhi10086	__na	__na	__na	cell_line	anaplastic squamous cell carcinoma cell line:RPMI 2650	__na	__na
10803	FF:10803-111A2	CNhs14139	__na	__na	__na	__na	cell_line	thymic carcinoma cell line:Ty-82	__na	__na
10802	FF:10802-111A1	CNhs11888	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M7) cell line:MKPL-1	__na	__na
10801	FF:10801-110I9	CNhs11886	__na	__na	__na	__na	cell_line	chronic myeloblastic leukemia (CML) cell line:KCL-22	__na	__na
10800	FF:10800-110I8	CNhs11885	__na	__na	__na	__na	cell_line	small cell cervical cancer cell line:HCSC-1	__na	__na
10798	FF:10798-110I6	CNhs11884	__na	__na	__na	__na	cell_line	teratocarcinoma cell line:NCR-G1	__na	__na
10797	FF:10797-110I5	CNhs11883	__na	__na	__na	__na	cell_line	tubular adenocarcinoma cell line:SUIT-2	__na	__na
10796	FF:10796-110I4	CNhs11882	RDhi10085	__na	__na	__na	cell_line	adenocarcinoma cell line:IM95m	__na	__na
10795	FF:10795-110I3	CNhs11881	RDhi10084	__na	__na	__na	cell_line	anaplastic large cell lymphoma cell line:Ki-JK	__na	__na
10792	FF:10792-110H9	CNhs13052	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M2) cell line:Kasumi-6	__na	__na
10791	FF:10791-110H8	CNhs11880	__na	__na	__na	__na	cell_line	keratoacanthoma cell line:HKA-1	__na	__na
10790	FF:10790-110H7	CNhs11878	__na	__na	__na	__na	cell_line	teratocarcinoma cell line:NCC-IT-A3	__na	__na
10789	FF:10789-110H6	CNhs13241	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M0) cell line:Kasumi-3	__na	low_quantity
